"Close","Close"
"Earn <strong>{points_amount}</strong> for +1&#39;ing this on Google+!","Earn <strong>{points_amount}</strong> for +1&#39;ing this on Google+!"
"Earn <strong>{points_amount}</strong> for following us on Twitter!","Earn <strong>{points_amount}</strong> for following us on Twitter!"
"Earn <strong>{points_amount}</strong> for liking this on Facebook!","Earn <strong>{points_amount}</strong> for liking this on Facebook!"
"Earn <strong>{points_amount}</strong> for pinning this on Pinterest!","Earn <strong>{points_amount}</strong> for pinning this on Pinterest!"
"Earn <strong>{points_amount}</strong> for sharing this on Facebook!","Earn <strong>{points_amount}</strong> for sharing this on Facebook!"
"Earn <strong>{points_amount}</strong> for sharing this purchase on Facebook!","Earn <strong>{points_amount}</strong> for sharing this purchase on Facebook!"
"Earn <strong>{points_amount}</strong> for sharing your referral link on Facebook!","Earn <strong>{points_amount}</strong> for sharing your referral link on Facebook!"
"Earn <strong>{points_amount}</strong> for tweeting about this purchase on Twitter!","Earn <strong>{points_amount}</strong> for tweeting about this purchase on Twitter!"
"Earn <strong>{points_amount}</strong> for tweeting this on Twitter!","Earn <strong>{points_amount}</strong> for tweeting this on Twitter!"
"Earn <strong>{points_amount}</strong> for tweeting your referral link on Twitter!","Earn <strong>{points_amount}</strong> for tweeting your referral link on Twitter!"
"Earn rewards for sharing your purchase.","Earn rewards for sharing your purchase."
"Follow","Follow"
"No action specified.","No action specified."
"Refer Friends","Refer Friends"
"Referral share link accessed from wrong endpoint!","Referral share link accessed from wrong endpoint!"
"Share","Share"
"Share your referral link!","Share your referral link!"
"There are no rules set up for this type of action.","There are no rules set up for this type of action."
"Tweet","Tweet"
"You already received points for liking this page.","You already received points for liking this page."
"You already received points for sharing this page.","You already received points for sharing this page."
"You earned <strong>%s</strong> for liking a page on Facebook!","You earned <strong>%s</strong> for liking a page on Facebook!"
"You earned <strong>%s</strong> for sharing a page on Facebook!","You earned <strong>%s</strong> for sharing a page on Facebook!"
"You earned <strong>%s</strong> for following us on Twitter!","You earned <strong>%s</strong> for following us on Twitter!"
"You earned <strong>%s</strong> for tweeting about a page on Twitter!","You earned <strong>%s</strong> for tweeting about a page on Twitter!"
"You earned <strong>%s</strong> for +1'ing a page on Google+!","You earned <strong>%s</strong> for +1'ing a page on Google+!"
"You earned <strong>%s</strong> for pinning a product on Pinterest!","You earned <strong>%s</strong> for pinning a product on Pinterest!"
"You earned <strong>%s</strong> for sharing a puchase on Facebook!","You earned <strong>%s</strong> for sharing a puchase on Facebook!"
"You earned <strong>%s</strong> for tweeting a purchase on Twitter!","You earned <strong>%s</strong> for tweeting a purchase on Twitter!"
"You earned <strong>%s</strong> for sharing your referral link on Facebook!","You earned <strong>%s</strong> for sharing your referral link on Facebook!"
"You earned <strong>%s</strong> for tweeting your referral link on Twitter!","You earned <strong>%s</strong> for tweeting your referral link on Twitter!"
"You have to log in to earn points.","You have to log in to earn points."
"You provided an invalid page key.","You provided an invalid page key."
"You provided an invalid product id.","You provided an invalid product id."
"You've already +1'd this page.","You've already +1'd this page."
"You've already been rewarded for following us on Twitter!","You've already been rewarded for following us on Twitter!"
"You've already been rewarded for sharing this purchase on facebook","You've already been rewarded for sharing this purchase on facebook"
"You've already been rewarded for sharing this purchase on twitter","You've already been rewarded for sharing this purchase on twitter"
"You've already pinned this product.","You've already pinned this product."
"You've already tweeted about this page.","You've already tweeted about this page."
"Your social interactions are happening too frequently to be eligible for rewards. Please try again later.","Your social interactions are happening too frequently to be eligible for rewards. Please try again later."
"You're using an older version of the Sweet Tooth Social component.","You're using an older version of the Sweet Tooth Social component."
"Fix Now","Fix Now"
