"Block for '%s' in '%s' column","Block för '%s' i '%s' kolumnen"
"<p>No content</p><p>CMS Block added by Content Manager.</p>","<p>Inget innehåll</p><p>CMS Block skapat av Content Manager.</p>"
"Page Type","Sidtyp"
"New ","Nytt "
"Save Structure","Spara struktur"
"Cancel","Avbryt"
"Add CMS Static Block","Lägg till CMS Statiskt Block"
"Add Widget","Lägg till Widget"
"Edit Structure","Redigera struktur"
"Configure","Konfigurera"
"Remove","Ta bort"
"[X] Exit Edit & Preview Mode","[X] Avsluta Redigering & Förhandsgranskingsläge"
"Product Category","Produktkategori"
"Content","Innehåll"
"Content Configuration","Innehållskonfiguration"
"Edit & Preview","Redigera & Förhandsgranska"
"Saving Structure","Sparar Struktur"
"Saving Widget","Sparar Widget"
"Widget created by Vaimo_Cms","Widget skapad av Vaimo_Cms"
"You are currently editing a structure. All changes you have made will be lost.","Du ändrar just nu en struktur. Alla ändringar som har gjorts kommer att försvinna."
"You are currently editing a CMS Block. All changes you have made will be lost.","Du ändrar just nu ett CMS Block. Alla ändringar som har gjorts kommer att försvinna."
"Saving Content","Sparar Innehåll"
"Publishing Draft","Publicerar utkast"
"Discarding Draft","Raderar utkast"
